timestep_idx,timestep_value,n_units,max_local_iter_idx,z_start_gain_vs_avg_global,z_end_gain_vs_avg_global,z_end_gain_vs_best_global,z_end_marginal,recommended_local_steps,k_90pct_gain_steps,gain_vs_avg_global_end
37,241.0,5,19,0.009604560703408437,0.5947201749937923,0.08782620311120976,0.00938955795361838,20,15,0.003017193087165104
38,221.0,5,19,-0.158868298216615,0.5731745043974356,0.08262595223804989,0.009353583775468707,0,11,0.0025991112392299122
39,201.0,5,19,0.06175432493279772,0.6550512451442778,0.08180489103526925,0.005654430410914153,20,8,0.002520341446932628
40,181.0,5,19,0.06311122257013163,0.7054032671536288,0.1297170958077775,0.0179692793257953,20,17,0.0025106526566238906
41,161.0,5,19,-0.1985804050050767,0.6105009115578253,0.06486285937756488,0.0,0,9,0.0020228605416545142
42,141.0,5,19,0.04547917107013925,0.5707634929496213,0.0897019956305021,0.0012935374515181525,20,14,0.001762106229659155
43,121.0,5,19,0.1910009191943129,0.6519528338365271,0.09453315526335969,0.002754352591683991,20,7,0.0017296857879798289
44,101.0,5,19,-0.2534189828608855,0.6475303179888285,0.1073032803022495,0.012981882061937058,0,16,0.0017013291902439331
45,81.0,5,19,0.059700871454881475,0.7505663533334939,0.12404938205005808,0.008773032883715268,20,13,0.001648127442481484
46,61.0,5,19,-0.02441175184130586,0.8301171011375004,0.18602209483817395,0.0033140934580681075,0,14,0.0014631228373637394
47,41.0,5,19,0.07372162726054679,0.8875327358714595,0.19116268482381604,0.0,20,13,0.0012331926012159877
48,21.0,5,19,0.027939005840987977,0.5282473503660786,0.07988155703123324,0.0,20,8,0.0005072031735063876
49,1.0,5,19,-0.2642851029646508,1.9326098193439836,0.1418103457467824,0.0566868443221852,0,15,0.0002471016126386116
